"depth_avg_mm" "BestAD" "MinAD" "MaxAD" "SAR_mm.yr" "SAR_err_mm.yr"
0 2023 2023 2023 3.03371505531842 0.145056975299013
1 2022.67037115162 2022.65460996019 2022.68613234304 3.03371505531842 0.145056975299013
2 2022.34074230324 2022.30921992039 2022.37226468609 3.03371505531842 0.145056975299013
3 2022.01111345486 2021.96382988058 2022.05839702913 3.03371505531842 0.145056975299013
4 2021.68148460648 2021.61843984077 2021.74452937218 3.03371505531842 0.145056975299013
5 2021.3518557581 2021.27304980097 2021.43066171522 3.03371505531842 0.145056975299013
6 2021.02222690972 2020.92765976116 2021.11679405827 3.03371505531842 0.145056975299013
7 2020.69259806133 2020.58226972136 2020.80292640131 3.03371505531842 0.145056975299013
8 2020.36296921295 2020.23687968155 2020.48905874436 3.03371505531842 0.145056975299013
9 2020.03334036457 2019.89148964174 2020.1751910874 3.03371505531842 0.145056975299013
10 2019.70371151619 2019.54609960194 2019.86132343045 3.03371505531842 0.145056975299013
11 2019.37408266781 2019.20070956213 2019.54745577349 3.03371505531842 0.145056975299013
12 2019.04445381943 2018.85531952232 2019.23358811654 3.03371505531842 0.145056975299013
13 2018.71482497105 2018.50992948252 2018.91972045958 3.03371505531842 0.145056975299013
14 2018.38519612267 2018.16453944271 2018.60585280263 3.03371505531842 0.145056975299013
15 2018.05556727429 2017.81914940291 2018.29198514567 3.03371505531842 0.145056975299013
16 2017.72593842591 2017.4737593631 2017.97811748872 3.03371505531842 0.145056975299013
17 2017.39630957753 2017.12836932329 2017.66424983176 3.03371505531842 0.145056975299013
18 2017.06668072915 2016.78297928349 2017.35038217481 3.03371505531842 0.145056975299013
19 2016.73705188077 2016.43758924368 2017.03651451785 3.03371505531842 0.145056975299013
20 2016.40742303238 2016.09219920387 2016.7226468609 3.03371505531842 0.145056975299013
21 2016.077794184 2015.74680916407 2016.40877920394 3.03371505531842 0.145056975299013
22 2015.74816533562 2015.40141912426 2016.09491154699 3.03371505531842 0.145056975299013
23 2015.41853648724 2015.05602908446 2015.78104389003 3.03371505531842 0.145056975299013
24 2015.08890763886 2014.71063904465 2015.46717623307 3.03371505531842 0.145056975299013
25 2014.75927879048 2014.36524900484 2015.15330857612 3.03371505531842 0.145056975299013
26 2014.4296499421 2014.01985896504 2014.83944091916 3.03371505531842 0.145056975299013
27 2014.10002109372 2013.67446892523 2014.52557326221 3.03371505531842 0.145056975299013
28 2013.77039224534 2013.32907888542 2014.21170560525 3.03371505531842 0.145056975299013
29 2013.44076339696 2012.98368884562 2013.8978379483 3.03371505531842 0.145056975299013
30 2013.11113454858 2012.63829880581 2013.58397029134 3.03371505531842 0.145056975299013
31 2012.7815057002 2012.292908766 2013.27010263439 3.03371505531842 0.145056975299013
32 2012.45187685182 2011.9475187262 2012.95623497743 3.03371505531842 0.145056975299013
33 2012.12224800343 2011.60212868639 2012.64236732048 3.03371505531842 0.145056975299013
34 2011.79261915505 2011.25673864659 2012.32849966352 3.03371505531842 0.145056975299013
35 2011.46299030667 2010.91134860678 2012.01463200657 3.03371505531842 0.145056975299013
36 2011.13336145829 2010.56595856697 2011.70076434961 3.03371505531842 0.145056975299013
37 2010.80373260991 2010.22056852717 2011.38689669266 3.03371505531842 0.145056975299013
38 2010.47410376153 2009.87517848736 2011.0730290357 3.03371505531842 0.145056975299013
39 2010.14447491315 2009.52978844755 2010.75916137875 3.03371505531842 0.145056975299013
40 2009.81484606477 2009.18439840775 2010.44529372179 3.03371505531842 0.145056975299013
41 2009.48521721639 2008.83900836794 2010.13142606484 3.03371505531842 0.145056975299013
42 2009.15558836801 2008.49361832814 2009.81755840788 3.03371505531842 0.145056975299013
43 2008.82595951963 2008.14822828833 2009.50369075093 3.03371505531842 0.145056975299013
44 2008.49633067125 2007.80283824852 2009.18982309397 3.03371505531842 0.145056975299013
45 2008.16670182287 2007.45744820872 2008.87595543701 3.03371505531842 0.145056975299013
46 2007.83707297448 2007.11205816891 2008.56208778006 3.03371505531842 0.145056975299013
47 2007.5074441261 2006.7666681291 2008.2482201231 3.03371505531842 0.145056975299013
48 2007.17781527772 2006.4212780893 2007.93435246615 3.03371505531842 0.145056975299013
49 2006.84818642934 2006.07588804949 2007.62048480919 3.03371505531842 0.145056975299013
50 2006.51855758096 2005.73049800968 2007.30661715224 3.03371505531842 0.145056975299013
51 2006.18892873258 2005.38510796988 2006.99274949528 3.03371505531842 0.145056975299013
52 2005.8592998842 2005.03971793007 2006.67888183833 3.03371505531842 0.145056975299013
53 2005.52967103582 2004.69432789027 2006.36501418137 3.03371505531842 0.145056975299013
54 2005.20004218744 2004.34893785046 2006.05114652442 3.03371505531842 0.145056975299013
55 2004.87041333906 2004.00354781065 2005.73727886746 3.03371505531842 0.145056975299013
56 2004.54078449068 2003.65815777085 2005.42341121051 3.03371505531842 0.145056975299013
57 2004.2111556423 2003.31276773104 2005.10954355355 3.03371505531842 0.145056975299013
58 2003.88152679392 2002.96737769123 2004.7956758966 3.03371505531842 0.145056975299013
59 2003.55189794553 2002.62198765143 2004.48180823964 3.03371505531842 0.145056975299013
60 2003.22226909715 2002.27659761162 2004.16794058269 3.03371505531842 0.145056975299013
61 2002.89264024877 2001.93120757182 2003.85407292573 3.03371505531842 0.145056975299013
62 2002.56301140039 2001.58581753201 2003.54020526878 3.03371505531842 0.145056975299013
63 2002.23338255201 2001.2404274922 2003.22633761182 3.03371505531842 0.145056975299013
64 2001.90375370363 2000.8950374524 2002.91246995487 3.03371505531842 0.145056975299013
65 2001.57412485525 2000.54964741259 2002.59860229791 3.03371505531842 0.145056975299013
66 2001.24449600687 2000.20425737278 2002.28473464095 3.03371505531842 0.145056975299013
67 2000.91486715849 1999.85886733298 2001.970866984 3.03371505531842 0.145056975299013
68 2000.58523831011 1999.51347729317 2001.65699932704 3.03371505531842 0.145056975299013
69 2000.25560946173 1999.16808725337 2001.34313167009 3.03371505531842 0.145056975299013
70 1999.92598061335 1998.82269721356 2001.02926401313 3.03371505531842 0.145056975299013
71 1999.59635176497 1998.47730717375 2000.71539635618 3.03371505531842 0.145056975299013
72 1999.26672291658 1998.13191713395 2000.40152869922 3.03371505531842 0.145056975299013
73 1998.9370940682 1997.78652709414 2000.08766104227 3.03371505531842 0.145056975299013
74 1998.60746521982 1997.44113705433 1999.77379338531 3.03371505531842 0.145056975299013
75 1998.27783637144 1997.09574701453 1999.45992572836 3.03371505531842 0.145056975299013
76 1997.94820752306 1996.75035697472 1999.1460580714 3.03371505531842 0.145056975299013
77 1997.61857867468 1996.40496693491 1998.83219041445 3.03371505531842 0.145056975299013
78 1997.2889498263 1996.05957689511 1998.51832275749 3.03371505531842 0.145056975299013
79 1996.95932097792 1995.7141868553 1998.20445510054 3.03371505531842 0.145056975299013
80 1996.62969212954 1995.3687968155 1997.89058744358 3.03371505531842 0.145056975299013
81 1996.30006328116 1995.02340677569 1997.57671978663 3.03371505531842 0.145056975299013
82 1995.97043443278 1994.67801673588 1997.26285212967 3.03371505531842 0.145056975299013
83 1995.6408055844 1994.33262669608 1996.94898447272 3.03371505531842 0.145056975299013
84 1995.31117673602 1993.98723665627 1996.63511681576 3.03371505531842 0.145056975299013
85 1994.98154788763 1993.64184661646 1996.32124915881 3.03371505531842 0.145056975299013
86 1994.65191903925 1993.29645657666 1996.00738150185 3.03371505531842 0.145056975299013
87 1994.32229019087 1992.95106653685 1995.6935138449 3.03371505531842 0.145056975299013
88 1993.99266134249 1992.60567649705 1995.37964618794 3.03371505531842 0.145056975299013
89 1993.66303249411 1992.26028645724 1995.06577853098 3.03371505531842 0.145056975299013
90 1993.33340364573 1991.91489641743 1994.75191087403 3.03371505531842 0.145056975299013
91 1993.00377479735 1991.56950637763 1994.43804321707 3.03371505531842 0.145056975299013
92 1992.67414594897 1991.22411633782 1994.12417556012 3.03371505531842 0.145056975299013
93 1992.34451710059 1990.87872629801 1993.81030790316 3.03371505531842 0.145056975299013
94 1992.01488825221 1990.53333625821 1993.49644024621 3.03371505531842 0.145056975299013
95 1991.68525940383 1990.1879462184 1993.18257258925 3.03371505531842 0.145056975299013
96 1991.35563055545 1989.84255617859 1992.8687049323 3.03371505531842 0.145056975299013
97 1991.02600170707 1989.49716613879 1992.55483727534 3.03371505531842 0.145056975299013
98 1990.69637285868 1989.15177609898 1992.24096961839 3.03371505531842 0.145056975299013
99 1990.3667440103 1988.80638605918 1991.92710196143 3.03371505531842 0.145056975299013
100 1990.03711516192 1988.46099601937 1991.61323430448 3.03371505531842 0.145056975299013
101 1989.70748631354 1988.11560597956 1991.29936664752 3.03371505531842 0.145056975299013
102 1989.37785746516 1987.77021593976 1990.98549899057 3.03371505531842 0.145056975299013
103 1989.04822861678 1987.42482589995 1990.67163133361 3.03371505531842 0.145056975299013
104 1988.7185997684 1987.07943586014 1990.35776367666 3.03371505531842 0.145056975299013
105 1988.38897092002 1986.73404582034 1990.0438960197 3.03371505531842 0.145056975299013
106 1988.05934207164 1986.38865578053 1989.73002836275 3.03371505531842 0.145056975299013
107 1987.72971322326 1986.04326574073 1989.41616070579 3.03371505531842 0.145056975299013
108 1987.40008437488 1985.69787570092 1989.10229304884 3.03371505531842 0.145056975299013
109 1987.0704555265 1985.35248566111 1988.78842539188 3.03371505531842 0.145056975299013
110 1986.74082667812 1985.00709562131 1988.47455773492 3.03371505531842 0.145056975299013
111 1986.41119782974 1984.6617055815 1988.16069007797 3.03371505531842 0.145056975299013
112 1986.08156898135 1984.31631554169 1987.84682242101 3.03371505531842 0.145056975299013
113 1985.75194013297 1983.97092550189 1987.53295476406 3.03371505531842 0.145056975299013
114 1985.42231128459 1983.62553546208 1987.2190871071 3.03371505531842 0.145056975299013
115 1985.09268243621 1983.28014542228 1986.90521945015 3.03371505531842 0.145056975299013
116 1984.76305358783 1982.93475538247 1986.59135179319 3.03371505531842 0.145056975299013
117 1984.43342473945 1982.58936534266 1986.27748413624 3.03371505531842 0.145056975299013
118 1984.10379589107 1982.24397530286 1985.96361647928 3.03371505531842 0.145056975299013
119 1983.77416704269 1981.89858526305 1985.64974882233 3.03371505531842 0.145056975299013
120 1983.44453819431 1981.55319522324 1985.33588116537 3.03371505531842 0.145056975299013
121 1983.11490934593 1981.20780518344 1985.02201350842 3.03371505531842 0.145056975299013
122 1982.78528049755 1980.86241514363 1984.70814585146 3.03371505531842 0.145056975299013
123 1982.45565164917 1980.51702510382 1984.39427819451 3.03371505531842 0.145056975299013
124 1982.12602280078 1980.17163506402 1984.08041053755 3.03371505531842 0.145056975299013
125 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
126 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
127 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
128 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
129 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
130 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
131 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
132 1981.7963939524 1979.82624502421 1983.7665428806 3.03371505531842 0.145056975299013
133 1981.46676510402 1979.48085498441 1983.45267522364 3.03371505531842 0.145056975299013
134 1981.13713625564 1979.1354649446 1983.13880756669 3.03371505531842 0.145056975299013
135 1980.80750740726 1978.79007490479 1982.82493990973 3.03371505531842 0.145056975299013
136 1980.47787855888 1978.44468486499 1982.51107225278 3.03371505531842 0.145056975299013
137 1980.1482497105 1978.09929482518 1982.19720459582 3.03371505531842 0.145056975299013
138 1979.81862086212 1977.75390478537 1981.88333693887 3.03371505531842 0.145056975299013
139 1979.48899201374 1977.40851474557 1981.56946928191 3.03371505531842 0.145056975299013
140 1979.15936316536 1977.06312470576 1981.25560162495 3.03371505531842 0.145056975299013
141 1978.82973431698 1976.71773466596 1980.941733968 3.03371505531842 0.145056975299013
142 1978.5001054686 1976.37234462615 1980.62786631104 3.03371505531842 0.145056975299013
143 1978.17047662022 1976.02695458634 1980.31399865409 3.03371505531842 0.145056975299013
144 1977.84084777184 1975.68156454654 1980.00013099713 3.03371505531842 0.145056975299013
145 1977.51121892345 1975.33617450673 1979.68626334018 3.03371505531842 0.145056975299013
146 1977.18159007507 1974.99078446692 1979.37239568322 3.03371505531842 0.145056975299013
147 1976.85196122669 1974.64539442712 1979.05852802627 3.03371505531842 0.145056975299013
148 1976.52233237831 1974.30000438731 1978.74466036931 3.03371505531842 0.145056975299013
149 1976.19270352993 1973.9546143475 1978.43079271236 3.03371505531842 0.145056975299013
150 1975.86307468155 1973.6092243077 1978.1169250554 3.03371505531842 0.145056975299013
151 1975.53344583317 1973.26383426789 1977.80305739845 3.03371505531842 0.145056975299013
152 1975.20381698479 1972.91844422809 1977.48918974149 3.03371505531842 0.145056975299013
153 1974.87418813641 1972.57305418828 1977.17532208454 3.03371505531842 0.145056975299013
154 1974.54455928803 1972.22766414847 1976.86145442758 3.03371505531842 0.145056975299013
155 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
156 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
157 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
158 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
159 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
160 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
161 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
162 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
163 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
164 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
165 1974.21493043965 1971.88227410867 1976.54758677063 3.03371505531842 0.145056975299013
166 1973.88530159127 1971.53688406886 1976.23371911367 3.03371505531842 0.145056975299013
167 1973.55567274289 1971.19149402905 1975.91985145672 3.03371505531842 0.145056975299013
168 1973.2260438945 1970.84610398925 1975.60598379976 3.03371505531842 0.145056975299013
169 1972.89641504612 1970.50071394944 1975.29211614281 3.03371505531842 0.145056975299013
170 1972.56678619774 1970.15532390964 1974.97824848585 3.03371505531842 0.145056975299013
171 1972.23715734936 1969.80993386983 1974.6643808289 3.03371505531842 0.145056975299013
172 1971.90752850098 1969.46454383002 1974.35051317194 3.03371505531842 0.145056975299013
173 1971.5778996526 1969.11915379022 1974.03664551498 3.03371505531842 0.145056975299013
174 1971.24827080422 1968.77376375041 1973.72277785803 3.03371505531842 0.145056975299013
175 1970.91864195584 1968.4283737106 1973.40891020107 3.03371505531842 0.145056975299013
176 1970.58901310746 1968.0829836708 1973.09504254412 3.03371505531842 0.145056975299013
